odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
112360100	The Spy Next Door	2010-01-15	Wide	Lionsgate	Spy-Next-Door-The	2009		0	9726056	2924	2924	9519	527985	9152849	45160	1039435	Kids Fiction	Original Screenplay	Live Action	Comedy	28000000	24307106	22445752	25970706		18060267	PG	For sequences of action violence and some mild rude humor				1273678	74580		5.4	24691
112380100	Valentine's Day	2010-02-12	Wide	Warner Bros.	Valentines-Day	2009	124	0	56260707	3665	3665	16981	1575610	20593042	109111	2790705	Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	52000000	110485654	107083674	118047406	Garry Marshall's Holiday Franchise	40207241	PG-13	for some sexual material and brief partial nudity	New Line Cinema	Wayne Rice	Karz Entertainment	762105	76147		4.6	5762
112430100	The Last Song	2010-03-31	Wide	Walt Disney	Last-Song-The	2009		0	16007426	2673	2794	16631	2617558	38718384	98644	2504179	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Drama	20000000	62950384	29728564	67258772		24115778	PG	For thematic material, some violence, sensuality and mild language				1294226	77414		5.7	45412
112540100	Battleship	2012-05-18	Wide	Universal	Battleship	2011	130	0	25534825	3690	3702	15012	1182545	18578807	615166	13678637	Contemporary Fiction	Based on Game	Live Action	Action	209000000	65233400	239984828	69085115		27065892	PG-13	for intense sequences of violence, action and destruction, and for language.	Universal Pictures	Hasbro	Bluegrass Films	1440129	94018		5.9	174821
112580100	Transylmania	2009-12-04	Wide	Full Circle Releasing	Transylmania	2009	0	0	263941	1007	1007	1125					Fantasy	Original Screenplay	Live Action	Black Comedy	0	397641	10588	446942			R	For crude and sexual content, nudity, drug use, language and some violence				936471	72764		3.8	2150
112590100	Faster	2010-11-24	Wide	CBS Films	Faster-(2009)	2009	98	0	8523153	2454	2470	8395	971318	13956799	175406	3467691	Contemporary Fiction	Original Screenplay	Live Action	Action	24000000	23240020	12552925	24828517		22121709	R	for strong violence, some drug use and language.				1545193				
113330100	From Paris With Love	2010-02-05	Wide	Lionsgate	From-Paris-With-Love	2009		0	8158860	2722	2722	9434	953108	15841359	194873	4186563	Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	52000000	24077427	29061741	25725308		33299057	R	for strong bloody violence throughout, drug content, pervasive language and brief sexuality				1179034	74851		6.5	87152
113780100	Madagascar 3: Europe's Most Wanted	2012-06-08	Wide	Paramount Pictures	Madagascar-3	2012	85	1	60316738	4258	4263	26837	3527054	56238206	1006461	17672754	Kids Fiction	Original Screenplay	Digital Animation	Adventure	145000000	216391482	530529789	229168361	Madagascar	25012145	PG	for some mild action and rude humor.	DreamWorks Animation	PDI		1277953	95105		7	92762
114060100	Puss in Boots	2011-10-28	Wide	Paramount Pictures	Puss-in-Boots	2011	90	0	34077439	3952	3963	26358	3055389	48831973	895866	20676631	Kids Fiction	Spin-Off	Digital Animation	Adventure	130000000	149260504	405726973	158657515	Shrek	23891253	PG	for some adventures, action and mild rude humor.	Paramount Pictures	DreamWorks Animation		448694	90647		6.7	95308
114230100	The Invention of Lying	2009-10-02	Wide	Warner Bros.	Invention-of-Lying-The	2009	100	0	7027472	1707	1743	7170	408926	5534376	42991	842366	Fantasy	Original Screenplay	Live Action	Comedy	18500000	18451251	14228013	20739208		23341739	PG-13	For language including some sexual material and a drug reference	Radar Pictures	Media Rights Capital		1058017	71520		6.4	83534
114270100	Footloose	2011-10-14	Wide	Paramount Pictures	Footloose-(2010)	2010	113	0	15556113	3549	3555	18214	910741	14419107	114390	2794699	Contemporary Fiction	Remake	Live Action	Musical	24000000	51802742	11187092	55068452		22203888	PG-13	for some teen drug and alcohol use, sexual content, violence and language.	Paramount Pictures	Spyglass Entertainment	Meron Weston Pictures	1068242	90343		5.8	30453
114290100	Hotel Transylvania	2012-09-28	Wide	Sony Pictures	Hotel-Transylvania	2011	91	0	42522194	3349	3384	26661	4049991	61300282	1251362	29834240	Kids Fiction	Original Screenplay	Digital Animation	Comedy	85000000	148313048	230192764	157022811	Hotel Transylvania	36059701	PG	for some rude humor, action and scary images.	Columbia Pictures	Sony Pictures Animation		837562	97225		7.1	116336
114300100	Rio	2011-04-15	Wide	20th Century Fox	Rio	2011	96	0	39225962	3827	3842	25374	5782141	69633789	1877614	35250451	Kids Fiction	Original Screenplay	Digital Animation	Adventure	90000000	143619809	343900000	152675283	Rio	40970954	PG	for mild off color humor.	20th Century Fox Animation	Blue Sky Studios		1436562	86298		7	135329
114370100	Red Dawn	2012-11-21	Wide	Open Road	Red-Dawn-(2010)	2010	93	0	14276668	2725	2781	13191	704892	12277666	367490	8801804	Contemporary Fiction	Remake	Live Action	Action	65000000	44806783	3357367	47431817		38185641	PG-13	for sequences of intense war violence and action, and for language.	Contrafilm			1234719	98239		5.5	53717
114440100	Law Abiding Citizen	2009-10-16	Wide	Overture Films	Law-Abiding-Citizen	2009		0	21039502	2890	2890	16597	1986354	22532901	660164	10670630	Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	53000000	73357727	57802054	82430243		39273583	R	For strong bloody brutal violence and torture, a scene of rape, and pervasive language	Overture Films	The Film Department		1197624	71838		7.4	184145
114810100	Beastly	2011-03-04	Wide	CBS Films	Beastly	2009	86	0	9851102	1952	1959	8961	504720	7061297	43919	888318	Fantasy	Original Screenplay	Live Action	Drama	17000000	27865571	10162659	29622539		19505477	PG-13	for language including some crude comments, drug references and brief violence	Storefront Pictures			1152398	82152		5.5	52154
115070100	Pandorum	2009-09-25	Wide	Overture Films	Pandorum	2009		0	4424126	2506	2506	7289	503027	5999568	172671	2309269	Science Fiction	Original Screenplay	Live Action	Horror	40000000	10330853	6702578	11611878		17091769	R	For strong horror violence and language				1188729	71135	393	6.9	30152
115100100	Grown Ups	2010-06-25	Wide	Sony Pictures	Grown-Ups	2010	102	0	40506564	3534	3534	24038	3402970	49339964	529626	11682727	Contemporary Fiction	Original Screenplay	Live Action	Comedy	75000000	162001186	110222244	173088722	Grown Ups	54432405	PG-13	for crude material including suggestive references, language and some male rear nudity	Columbia Pictures	Relativity Media	Happy Madison	1375670	79134		6	147390
115110100	Dinner for Schmucks	2010-07-30	Wide	Paramount Pictures	Dinner-for-Schmucks	2010	114	0	23527839	2911	3046	15007	872010	13967606	100009	2405089	Contemporary Fiction	Remake	Live Action	Comedy	69000000	73026337	13770165	78024337		38525770	PG-13	for sequences of crude and sexual content, some partial nudity and language	DreamWorks Pictures	Spyglass Entertainment	Reliance BIG Entertainment	427152	79428		5.9	69780
115320100	The Fourth Kind	2009-11-06	Wide	Universal	Fourth-Kind-The	2009		0	12231160	2527	2530	7991	539560	9127616	40934	776913	Historical Fiction	Original Screenplay	Live Action	Thriller/Suspense	10000000	26218170	23268704	29469223		20778000	PG-13	For violent/disturbing images, some terror, thematic elements and brief sexuality	Gold Circle Films			1220198	72393		5.9	55746
